Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
101,"KSC,LC-39A",SpaceX CRS-21(Dragon C208.1),,LEO (ISS),Sirius XM,Success,F9 B5 ♺[,Success,6 December 2020,16:17:08
102,"CCSFS,SLC-40[597]",SXM-7,,GTO,NRO,Success,F9 B5 ♺,Success,13 December 2020,17:30:00
103,"KSC,LC-39A",NROL-108,,LEO,Türksat,Success,F9 B5 ♺,Success,19 December 2020,14:00:00
104,"CCSFS,SLC-40",Türksat 5A[605],,GTO,SpaceX,Success,F9 B5,Success,8 January 2021,02:15
105,"KSC,LC-39A",Starlink 16 v1.0 (60 satellites),,LEO,Various,Success,F9 B5B1051.8609,Success,20 January 2021,13:02
106,"CCSFS,SLC-40",Transporter-1 (143 smallsat rideshare),,SSO,SpaceX,Success,F9 B5B1058.5613,Success,24 January 2021,15:00
107,"CCSFS,SLC-40",Starlink 18 v1.0 (60 satellites),,LEO,SpaceX,Success,F9 B5 ♺[,Failure,4 February 2021,06:19
108,"CCSFS,SLC-40",Starlink 19 v1.0 (60 satellites)[627],,LEO,SpaceX,Success,F9 B5 ♺,Success,16 February 2021,03:59:37
109,"KSC,LC-39A",Starlink 17 v1.0 (60 satellites),,LEO,SpaceX,Success,F9 B5 ♺[,Success,4 March 2021,08:24
110,"CCSFS,SLC-40",Starlink 20 v1.0 (60 satellites),,LEO,SpaceX,Success,F9 B5 ♺[,Success,11 March 2021,08:13:29
111,"KSC,LC-39A",Starlink 21 v1.0 (60 satellites),,LEO,SpaceX,Success,F9 B5 ♺,Success,14 March 2021,10:01
112,"CCSFS,SLC-40",Starlink 22 v1.0 (60 satellites),,LEO,SpaceX,Success,F9 B5B1060.6643,Success,24 March 2021,08:28
113,"CCSFS,SLC-40",Starlink 23 v1.0 (60 satellites),,LEO,NASA,Success,F9 B5 ♺,Success,7 April 2021,16:34
114,"KSC,LC-39A",Crew-2(Crew Dragon C206.2 Endeavour ♺),,LEO (ISS),SpaceX,Success,F9 B5B1061.2647,Success,23 April 2021,9:49
115,"CCSFS,SLC-40",Starlink 24 v1.0 (60 satellites),,LEO,SpaceX,Success,F9 B5B1060.7652,Success,29 April 2021,03:44
116,"KSC,LC-39A",Starlink 25 v1.0 (60 satellites),,LEO,SpaceX,Success,F9 B5B1049.9655,Success,4 May 2021,19:01
117,"CCSFS,SLC-40",Starlink 27 v1.0 (60 satellites),,LEO,SpaceX,Success,F9 B5B1051.10657,Success,9 May 2021,06:42
118,"KSC,LC-39A[661]",Starlink 26 v1.0 (52 Satellites) Capella-6 &Tyvak-0130[662],,LEO,SpaceX,Success,F9 B5B1058.8660,Success,15 May 2021,22:56
119,"CCSFS,SLC-40[665]",Starlink 28 v1.0 (60 Satellites)[665],,LEO,NASA,Success,F9 B5B1063.2665,Success,26 May 2021,18:59
120,"KSC,LC-39A",SpaceX CRS-22(Dragon C209.1),,LEO (ISS),Sirius XM,Success,F9 B5B1067.1668,Success,3 June 2021,17:29
121,"CCSFS,SLC-40",SXM-8[674],,GTO,,,F9 B5,,6 June 2021,04:26
